date,price
11/7/2022,20469.29
11/6/2022,21131.55
11/5/2022,21304.86
11/4/2022,21183.83
11/3/2022,20188.89
11/2/2022,20099.99
11/1/2022,20473.44
10/31/2022,20478.38
10/30/2022,20589.3
10/29/2022,20771
10/28/2022,20621.14
10/27/2022,20274.33
10/26/2022,20814.98
10/25/2022,20076.05
10/24/2022,19366.81
10/23/2022,19588.86
10/22/2022,19195.99
10/21/2022,19190.69
10/20/2022,19038.26
10/19/2022,19148.08
10/18/2022,19323.37
10/17/2022,19523.99
10/16/2022,19303.93
10/15/2022,19077.09
10/14/2022,19164.47
10/13/2022,19438.11
10/12/2022,19152.48
10/11/2022,19038.03
10/10/2022,19139.83
10/9/2022,19404.1
10/8/2022,19360.41
10/7/2022,19553.97
10/6/2022,19900.44
10/5/2022,20194.86
10/4/2022,20307.63
10/3/2022,19521.13
10/2/2022,19173
10/1/2022,19327.37
9/30/2022,19391.44
9/29/2022,19459.86
9/28/2022,19489.77
9/27/2022,19078.38
9/26/2022,19098.13
9/25/2022,18787.14
9/24/2022,18890.88
9/23/2022,19343.01
9/22/2022,19400
9/21/2022,18488.32
9/20/2022,18958.89
9/19/2022,19625.04
9/18/2022,19439.18
9/17/2022,20130.05
9/16/2022,19728.77
9/15/2022,19735
9/14/2022,20295.43
9/13/2022,20227.85
9/12/2022,22308.6
9/11/2022,21633.51
9/10/2022,21775.85
9/9/2022,21361.48
9/8/2022,19309.91
9/7/2022,19342.49
9/6/2022,18915
9/5/2022,19798.41
9/4/2022,19838.29
9/3/2022,19794.44
9/2/2022,19992.4
9/1/2022,20084.01
8/31/2022,20156.87
8/30/2022,19887.91
8/29/2022,20199.38
8/28/2022,19905.88
8/27/2022,20028.82
8/26/2022,20612.03
8/25/2022,21584.51
8/24/2022,21492.32
8/23/2022,21479.83
8/22/2022,21171.3
8/21/2022,21566.7
8/20/2022,21141.87
8/19/2022,20987.14
8/18/2022,23348.4
8/17/2022,23345.63
8/16/2022,23848
8/15/2022,24026.64
8/14/2022,24267.88
8/13/2022,24403.53
8/12/2022,24258.81
8/11/2022,23901.1
8/10/2022,23846.65
8/9/2022,23186.08
8/8/2022,23822.46
8/7/2022,23246.35
8/6/2022,23178.24
8/5/2022,23251.4
8/4/2022,22633.07
8/3/2022,22950.07
8/2/2022,23107.74
8/1/2022,23178.66
7/31/2022,23391.74
7/30/2022,23709.92
7/29/2022,23955.73
7/28/2022,23970.99
7/27/2022,22875.3
7/26/2022,21122.78
7/25/2022,21651.83
7/24/2022,22667.9
7/23/2022,22469.01
7/22/2022,22729.33
7/21/2022,23031.39
7/20/2022,23315.88
7/19/2022,23517
7/18/2022,21792.78
7/17/2022,21001.71
7/16/2022,21289.41
7/15/2022,20901.68
7/14/2022,20500.6
7/13/2022,19831.01
7/12/2022,19353.71
7/11/2022,19978.12
7/10/2022,20828.52
7/9/2022,21620.62
7/8/2022,21763.87
7/7/2022,21622.85
7/6/2022,20495.07
7/5/2022,20412.36
7/4/2022,20147.27
7/3/2022,19270.74
7/2/2022,19300.16
7/1/2022,19271.52
6/30/2022,18875.73
6/29/2022,20205.2
6/28/2022,20284.07
6/27/2022,20793.19
6/26/2022,21136.07
6/25/2022,21418.15
6/24/2022,21300
6/23/2022,20974.19
6/22/2022,20085.2
6/21/2022,20882.74
6/20/2022,20470.92
6/19/2022,20670.44
6/18/2022,19158.96
6/17/2022,20433.88
6/16/2022,20336.34
6/15/2022,22455.38
6/14/2022,21576.03
6/13/2022,22561.19
6/12/2022,26963.76
6/11/2022,28609.51
6/10/2022,29147.82
6/9/2022,30036.82
6/8/2022,30285.79
6/7/2022,31238
6/6/2022,31374.24
6/5/2022,29997.77
6/4/2022,29791.11
6/3/2022,29701.34
6/2/2022,30457.94
6/1/2022,29726.44
5/31/2022,31850.21
5/30/2022,31749.64
5/29/2022,29418.55
5/28/2022,28968.47
5/27/2022,28787.79
5/26/2022,29475.99
5/25/2022,29744.23
5/24/2022,29581.27
5/23/2022,29190.17
5/22/2022,30247.92
5/21/2022,29378.84
5/20/2022,29114.44
5/19/2022,30152.14
5/18/2022,28943.82
5/17/2022,30326.79
5/16/2022,29985.31
5/15/2022,31052.28
5/14/2022,30172.71
5/13/2022,29762.28
