date,price
8/30/2012,160.52
8/31/2012,164.22
9/4/2012,164.48
9/5/2012,164.31
9/6/2012,164.89
9/7/2012,168.44
9/10/2012,167.29
9/11/2012,167.9
9/12/2012,167.92
9/13/2012,171.31
9/14/2012,171.8
9/17/2012,170.4
9/18/2012,171.72
9/19/2012,171.74
9/20/2012,171.47
9/21/2012,171.96
9/24/2012,171.05
9/25/2012,170.77
9/26/2012,169.81
9/27/2012,172.34
9/28/2012,171.89
10/1/2012,172.295
10/2/2012,172.1
10/3/2012,172.41
10/4/2012,173.61
10/5/2012,172.62
10/8/2012,172.05
10/9/2012,170.99
10/10/2012,170.84
10/11/2012,171.32
10/12/2012,170.06
10/15/2012,168.35
10/16/2012,169.42
10/17/2012,169.54
10/18/2012,168.7891
10/19/2012,166.97
10/22/2012,167.58
10/23/2012,165.4258
10/24/2012,164.8603
10/25/2012,166.02
10/26/2012,165.93
10/31/2012,166.83
11/1/2012,166.07
11/2/2012,162.6
11/5/2012,163.23
11/6/2012,166.3
11/7/2012,166.49
11/8/2012,167.99
11/9/2012,167.82
11/12/2012,167.45
11/13/2012,167.1
11/14/2012,167.14
11/15/2012,166.09
11/16/2012,165.88
11/19/2012,167.87
11/20/2012,167.39
11/21/2012,167.56
11/23/2012,169.61
11/26/2012,169.43
11/27/2012,168.71
11/28/2012,166.55
11/29/2012,167.1817
11/30/2012,166.05
12/3/2012,166.1267
12/4/2012,164.42
12/5/2012,164.12
12/6/2012,164.5
12/7/2012,165.165
12/10/2012,165.8
12/11/2012,165.65
12/12/2012,165.77
12/13/2012,164.37
12/14/2012,164.13
12/17/2012,164.44
12/18/2012,162.08
12/19/2012,161.69
12/20/2012,159.73
12/21/2012,160.33
12/24/2012,160.62
12/26/2012,160.78
12/27/2012,161.16
12/28/2012,160.54
12/31/2012,162.0204
1/2/2013,163.17
1/3/2013,161.2
1/4/2013,160.44
1/7/2013,159.43
1/8/2013,160.56
1/9/2013,160.49
1/10/2013,161.98
1/11/2013,161.06
1/14/2013,161.54
1/15/2013,162.558
1/16/2013,162.65
1/17/2013,163.35
1/18/2013,163.09
1/22/2013,163.67
1/23/2013,163.21
1/24/2013,161.42
1/25/2013,160.65
1/28/2013,160.29
1/29/2013,160.99
1/30/2013,162.19
1/31/2013,161.2
2/1/2013,161.45
2/4/2013,162
2/5/2013,161.96
2/6/2013,162.39
2/7/2013,161.84
2/8/2013,161.57
2/11/2013,159.7
2/12/2013,159.89
2/13/2013,159.05
2/14/2013,158.348
2/15/2013,155.76
2/19/2013,155.33
2/20/2013,151.44
2/21/2013,152.62
