[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [INSTRUMENT_NAME], [BASE_CURRENCY], [CONTRACT_SIZE], [UNDERLYING_INDEX], [UNDERLYING_PRICE], [EXPIRY_DATE], [EXPIRY_UNIX], [EXPIRY_TIME], [DTE], [OPTION_RIGHT], [STRIKE], [BID_SIZE], [BID_PRICE], [ASK_PRICE], [ASK_SIZE], [OPEN_INTEREST], [VOLUME], [DELTA], [GAMMA], [VEGA], [THETA], [RHO], [MARK_IV], [STRIKE_DISTANCE_PCT]
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-35000-C, BTC, 1.000000, SYN.BTC-27AUG21, 34315.870000, 2021-08-27, 1630051200, 4.000000, 65.166120, call, 35000.000000, 7.300000, 0.150500, 0.153500, 0.600000, 272.600000, 183.800000, 0.561620, 0.000030, 57.154340, -42.253140, 25.026750, 96.350000, 0.028050
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-35000-P, BTC, 1.000000, SYN.BTC-27AUG21, 34276.120000, 2021-08-27, 1630051200, 4.000000, 65.166120, put, 35000.000000, 20.700000, 0.172500, 0.175000, 0.500000, 195.900000, 13.000000, -0.439490, 0.000030, 57.112910, -42.226320, -37.530900, 96.360000, 0.029180
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-40000-C, BTC, 1.000000, SYN.BTC-27AUG21, 34308.620000, 2021-08-27, 1630051200, 4.000000, 65.166120, call, 40000.000000, 1.100000, 0.100500, 0.102500, 0.700000, 349.500000, 19.300000, 0.428450, 0.000030, 56.900920, -41.570140, 20.000980, 95.220000, 0.174590
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-40000-P, BTC, 1.000000, SYN.BTC-27AUG21, 34318.760000, 2021-08-27, 1630051200, 4.000000, 65.166120, put, 40000.000000, 0.400000, 0.216500, 0.000000, 0.000000, 112.000000, 0.100000, -0.571270, 0.000030, 56.925110, -41.586790, -51.396990, 95.220000, 0.174610
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-45000-C, BTC, 1.000000, SYN.BTC-27AUG21, 34276.120000, 2021-08-27, 1630051200, 4.000000, 65.166120, call, 45000.000000, 20.900000, 0.066000, 0.069000, 31.100000, 634.600000, 346.700000, 0.317130, 0.000030, 51.596690, -37.681560, 15.264420, 95.180000, 0.323230
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-45000-P, BTC, 1.000000, SYN.BTC-27AUG21, 34318.050000, 2021-08-27, 1630051200, 4.000000, 65.166120, put, 45000.000000, 0.400000, 0.320000, 0.000000, 0.000000, 6.700000, 0.300000, -0.681770, 0.000030, 51.735130, -37.784090, -65.011290, 95.190000, 0.321340
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-50000-C, BTC, 1.000000, SYN.BTC-27AUG21, 34224.080000, 2021-08-27, 1630051200, 4.000000, 65.166120, call, 50000.000000, 10.400000, 0.044000, 0.046000, 1.400000, 757.100000, 315.400000, 0.231400, 0.000020, 44.059040, -32.381700, 11.368500, 95.790000, 0.471750
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-50000-P, BTC, 1.000000, SYN.BTC-27AUG21, 34296.430000, 2021-08-27, 1630051200, 4.000000, 65.166120, put, 50000.000000, 0.100000, 0.042000, 0.000000, 0.000000, 0.000000, , -0.766990, 0.000020, 44.323080, -32.576840, -77.802690, 95.790000, 0.468920
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-55000-C, BTC, 1.000000, SYN.BTC-27AUG21, 34194.590000, 2021-08-27, 1630051200, 4.000000, 65.166120, call, 55000.000000, 16.900000, 0.031000, 0.032000, 0.800000, 534.200000, 106.600000, 0.171220, 0.000020, 36.730080, -27.442890, 8.522040, 97.380000, 0.620580
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-55000-P, BTC, 1.000000, SYN.BTC-27AUG21, 34219.910000, 2021-08-27, 1630051200, 4.000000, 65.166120, put, 55000.000000, 0.500000, 0.010000, 0.709500, 0.200000, 0.200000, , -0.828330, 0.000020, 36.819330, -27.509170, -89.645530, 97.380000, 0.619120
